Date,Open,High,Low,Close,Adj Close,Volume
2017-09-01,1216.250000,1222.000000,1207.150024,1216.150024,1157.300049,622867
2017-09-04,1214.849976,1214.849976,1193.750000,1197.150024,1139.219360,586791
2017-09-05,1196.400024,1211.500000,1192.300049,1205.199951,1146.880005,699191
2017-09-06,1202.000000,1212.000000,1200.300049,1206.400024,1148.021973,670064
2017-09-07,1209.000000,1221.750000,1203.699951,1208.750000,1150.258179,781792
2017-09-08,1210.250000,1218.349976,1202.099976,1207.550049,1149.116333,663219
2017-09-11,1206.000000,1232.000000,1206.000000,1219.900024,1160.868652,794869
2017-09-12,1224.000000,1255.000000,1223.000000,1249.800049,1189.321777,1164498
2017-09-13,1250.000000,1259.000000,1245.199951,1250.949951,1190.416016,848136
2017-09-14,1262.099976,1262.099976,1230.099976,1247.849976,1187.466064,1239363
2017-09-15,1242.099976,1256.800049,1235.599976,1246.000000,1185.705688,1333125
2017-09-18,1250.000000,1285.949951,1246.000000,1280.050049,1218.108032,781532
2017-09-19,1287.599976,1287.599976,1273.550049,1279.300049,1217.394287,563558
2017-09-20,1280.000000,1281.349976,1255.099976,1259.349976,1198.409546,1179496
2017-09-21,1261.000000,1261.900024,1248.000000,1256.699951,1195.887939,913615
2017-09-22,1252.199951,1252.250000,1234.099976,1239.199951,1179.234863,1208698
2017-09-25,1239.900024,1259.000000,1237.500000,1247.150024,1186.799927,1271436
2017-09-26,1261.099976,1261.099976,1201.050049,1217.349976,1158.442139,1751337
2017-09-27,1217.000000,1217.500000,1188.000000,1205.900024,1147.546143,2299025
2017-09-28,1205.800049,1212.949951,1192.150024,1202.800049,1144.596313,3007522
2017-09-29,1209.800049,1209.800049,1169.000000,1173.900024,1117.094482,2274339
2017-10-03,1176.500000,1191.849976,1171.000000,1186.349976,1128.942261,1970990
2017-10-04,1191.099976,1204.500000,1178.699951,1197.500000,1139.552612,2448425
2017-10-05,1204.349976,1204.500000,1183.199951,1187.650024,1130.179199,2305862
2017-10-06,1193.000000,1211.599976,1192.150024,1207.300049,1148.878540,508700
2017-10-09,1217.500000,1223.349976,1205.050049,1220.250000,1161.201660,720819
2017-10-10,1224.099976,1230.349976,1205.000000,1209.199951,1150.686401,802675
2017-10-11,1215.000000,1220.500000,1198.599976,1218.050049,1159.108276,1096016
2017-10-12,1220.050049,1245.000000,1216.250000,1241.000000,1180.947510,982442
2017-10-13,1238.000000,1253.000000,1231.199951,1248.599976,1188.179932,840717
2017-10-16,1250.000000,1287.500000,1249.949951,1281.300049,1219.297607,1276141
2017-10-17,1285.000000,1288.650024,1271.000000,1282.150024,1220.106445,654497
2017-10-18,1277.000000,1282.599976,1260.000000,1263.949951,1202.786987,697765
2017-10-19,1265.000000,1270.000000,1253.699951,1257.699951,1196.839355,67835
2017-10-23,1266.000000,1277.599976,1238.599976,1249.949951,1189.464355,791883
2017-10-24,1254.900024,1274.000000,1254.000000,1270.050049,1208.591919,1055569
2017-10-25,1281.000000,1283.400024,1265.099976,1272.449951,1210.875732,1332232
2017-10-26,1285.000000,1285.000000,1253.500000,1273.699951,1212.065308,2321903
2017-10-27,1273.699951,1273.699951,1246.000000,1260.150024,1199.170898,875032
2017-10-30,1260.000000,1269.449951,1230.000000,1234.199951,1174.476685,1063165
